Unnamed: 0,response_id,type_trial,recording,e2-tts,f5-tts,fish-speech,gpt-sovits,hierspeech,indextts,maskgct,metavoice,openvoice,qwen3-tts,styletts2,tortoise,vevo,vibevoice,voicecraft,whisperspeech,xtts,attention_best,attention_worst,display_order,speaker_name,speaker_etiology,speaker_wer
0,R_8nxBm3vASQt9OvE,trial,0,0,0,0,0,2,0,0,3,0,0,1,0,2,0,0,0,0,0,0,QID2_3|QID2_1|QID2_2|QID2_4,841b5954-25e9-4805-244a-08dc016f5033,Parkinson's Disease,0.7089530475357247
0,R_8nxBm3vASQt9OvE,trial,0,3,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,QID3_2|QID3_4|QID3_3|QID3_1,4b05eff4-b30e-40e8-30ff-08db50c8319f,Parkinson's Disease,0.7511164036915748
0,R_8nxBm3vASQt9OvE,trial,0,0,2,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,QID5_2|QID5_3|QID5_4|QID5_1,88219ed9-d7ba-4d3d-f94e-08dc1c2dd218,Down Syndrome,0.9629948364888123
0,R_8nxBm3vASQt9OvE,trial,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,QID7_4|QID7_2|QID7_1|QID7_3,0f397840-4dca-486d-5143-08dba881aa8d,Parkinson's Disease,0.500875656742557
0,R_8nxBm3vASQt9OvE,trial,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,QID10_2|QID10_1|QID10_3|QID10_4,a1dec06a-a466-4786-b587-08dc5e199653,ALS,0.4777397260273973
0,R_8nxBm3vASQt9OvE,trial,0,0,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,QID17_1|QID17_3|QID17_4|QID17_2,f60008c4-fe6e-4a38-aa58-08dbfc00603a,Cerebral Palsy,0.7380233059991368
0,R_8nxBm3vASQt9OvE,trial,3,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,QID19_2|QID19_1|QID19_3|QID19_4,a68ea94f-8194-49e5-3c84-08dc4b8edc60,Cerebral Palsy,1.9068673565381
0,R_8nxBm3vASQt9OvE,trial,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,2,0,0,0,QID21_4|QID21_2|QID21_1|QID21_3,61668d9d-71d0-4e61-603d-08db888af625,Parkinson's Disease,0.9202270690170302
0,R_8nxBm3vASQt9OvE,trial,0,0,2,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,QID22_4|QID22_1|QID22_3|QID22_2,558c8b14-7e5a-45d4-6b84-08db40e65de5,Parkinson's Disease,0.445993031358885
0,R_8PbzZVVAglwQPHk,trial,0,0,0,0,0,2,0,0,3,0,0,1,0,2,0,0,0,0,0,0,QID2_1|QID2_3|QID2_4|QID2_2,841b5954-25e9-4805-244a-08dc016f5033,Parkinson's Disease,0.7089530475357247
0,R_8PbzZVVAglwQPHk,trial,0,3,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,QID3_3|QID3_1|QID3_2|QID3_4,4b05eff4-b30e-40e8-30ff-08db50c8319f,Parkinson's Disease,0.7511164036915748
0,R_8PbzZVVAglwQPHk,trial,0,0,2,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,QID5_1|QID5_4|QID5_3|QID5_2,88219ed9-d7ba-4d3d-f94e-08dc1c2dd218,Down Syndrome,0.9629948364888123
0,R_8PbzZVVAglwQPHk,trial,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,QID7_2|QID7_4|QID7_1|QID7_3,0f397840-4dca-486d-5143-08dba881aa8d,Parkinson's Disease,0.500875656742557
0,R_8PbzZVVAglwQPHk,trial,0,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,QID10_3|QID10_2|QID10_1|QID10_4,a1dec06a-a466-4786-b587-08dc5e199653,ALS,0.4777397260273973
0,R_8PbzZVVAglwQPHk,trial,0,0,0,1,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,QID17_3|QID17_1|QID17_2|QID17_4,f60008c4-fe6e-4a38-aa58-08dbfc00603a,Cerebral Palsy,0.7380233059991368
0,R_8PbzZVVAglwQPHk,trial,3,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,QID19_4|QID19_2|QID19_3|QID19_1,a68ea94f-8194-49e5-3c84-08dc4b8edc60,Cerebral Palsy,1.9068673565381
0,R_8PbzZVVAglwQPHk,trial,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,2,0,0,0,QID21_3|QID21_2|QID21_1|QID21_4,61668d9d-71d0-4e61-603d-08db888af625,Parkinson's Disease,0.9202270690170302
0,R_8PbzZVVAglwQPHk,trial,0,0,1,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,QID22_4|QID22_3|QID22_2|QID22_1,558c8b14-7e5a-45d4-6b84-08db40e65de5,Parkinson's Disease,0.445993031358885
0,R_2jPaT6vIcY5QL2m,trial,0,0,0,0,0,1,0,0,3,0,0,2,0,2,0,0,0,0,0,0,QID2_3|QID2_4|QID2_1|QID2_2,841b5954-25e9-4805-244a-08dc016f5033,Parkinson's Disease,0.7089530475357247
0,R_2jPaT6vIcY5QL2m,trial,0,2,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,QID3_4|QID3_3|QID3_1|QID3_2,4b05eff4-b30e-40e8-30ff-08db50c8319f,Parkinson's Disease,0.7511164036915748
0,R_2jPaT6vIcY5QL2m,trial,0,0,2,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,QID5_1|QID5_2|QID5_4|QID5_3,88219ed9-d7ba-4d3d-f94e-08dc1c2dd218,Down Syndrome,0.9629948364888123
0,R_2jPaT6vIcY5QL2m,trial,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,QID7_1|QID7_2|QID7_4|QID7_3,0f397840-4dca-486d-5143-08dba881aa8d,Parkinson's Disease,0.500875656742557
0,R_2jPaT6vIcY5QL2m,trial,0,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,QID10_1|QID10_4|QID10_2|QID10_3,a1dec06a-a466-4786-b587-08dc5e199653,ALS,0.4777397260273973
0,R_2jPaT6vIcY5QL2m,trial,0,0,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,QID17_2|QID17_3|QID17_4|QID17_1,f60008c4-fe6e-4a38-aa58-08dbfc00603a,Cerebral Palsy,0.7380233059991368
0,R_2jPaT6vIcY5QL2m,trial,3,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,QID19_1|QID19_4|QID19_2|QID19_3,a68ea94f-8194-49e5-3c84-08dc4b8edc60,Cerebral Palsy,1.9068673565381
